valid_time,u100,v100,u10,v10,wind_10,wind_100
2020-01-01 00:00:00,-0.56538177,-0.19274648,-0.4547259,-0.16104028,1.9783014,2.4727054
2020-01-01 01:00:00,-0.5368126,-0.15427677,-0.43322077,-0.13910623,1.9363286,2.4039257
2020-01-01 02:00:00,-0.49402034,-0.1395381,-0.40824538,-0.12106431,1.909332,2.367543
2020-01-01 03:00:00,-0.5580203,-0.1597604,-0.43319893,-0.13638589,1.8805467,2.326614
2020-01-01 04:00:00,-0.56915385,-0.26500484,-0.4442988,-0.20334242,1.8266815,2.2801588
2020-01-01 05:00:00,-0.6453872,-0.29246935,-0.4965264,-0.20272024,1.7651632,2.2213662
2020-01-01 06:00:00,-0.73113364,-0.3087574,-0.5603374,-0.19759081,1.7259417,2.175812
2020-01-01 07:00:00,-0.8272769,-0.21985357,-0.6264262,-0.13649811,1.7297751,2.1764097
2020-01-01 08:00:00,-0.8984822,-0.15417908,-0.6596684,-0.09126055,1.7625713,2.2024531
2020-01-01 09:00:00,-0.95558506,0.04345827,-0.7160104,0.008611589,1.8103459,2.2047048
2020-01-01 10:00:00,-0.91183156,0.20209546,-0.63649833,0.099209175,1.7420843,2.2749271
2020-01-01 11:00:00,-0.58443075,0.30455995,-0.47546226,0.1931179,1.5248824,1.8873
2020-01-01 12:00:00,-0.3672792,0.2731857,-0.32266986,0.2068385,1.4276283,1.6642457
2020-01-01 13:00:00,-0.23258287,0.23071933,-0.21736601,0.18265426,1.3503361,1.5351435
2020-01-01 14:00:00,-0.18920246,0.14043549,-0.18953742,0.107818924,1.2487879,1.4042226
2020-01-01 15:00:00,-0.25792927,0.08249663,-0.2588747,0.05307131,1.2071674,1.3694384
2020-01-01 16:00:00,-0.33192515,0.088734664,-0.3027396,0.057426922,1.2628652,1.4763368
2020-01-01 17:00:00,-0.3728721,0.13129506,-0.34268382,0.089909755,1.4280028,1.5491998
2020-01-01 18:00:00,-0.4355921,0.15557985,-0.43541476,0.089597486,1.4059675,1.5452013
2020-01-01 19:00:00,-0.5418053,0.24951562,-0.55492276,0.14626618,1.4140667,1.563194
2020-01-01 20:00:00,-0.5885864,0.3752658,-0.6000262,0.21352075,1.4434841,1.6102843
2020-01-01 21:00:00,-0.64786345,0.57584107,-0.6403293,0.32425258,1.5248603,1.7392732
2020-01-01 22:00:00,-0.5186047,0.6837442,-0.54982644,0.3640298,1.6837662,2.0151176
2020-01-01 23:00:00,-0.49183002,0.78057456,-0.5156821,0.41566452,1.7135462,2.0812073
